NUMERO,RAMA,CURSO,COMUNIDAD,PRIVADA,PRESENCIAL,SEXO,NACIONALIDAD,NOTA_MATEMATICAS,NOTA_BIOLOGIA,NOTA_LENGUA,NOTA_TECNOLOGIA,MEDIA,BECADO
12,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,Union Europea,"6,38","8,36","6,91","5,78","6,86",0
23,Ciencias,2016,Andalucia,0,1,Hombre,Union Europea,"8,41","6,31","5,78","7,97","7,12",1
18,Ciencias,2017,Andalucia,0,1,Hombre,Union Europea,"8,41","6,31","5,79","7,98","7,12",1
11,Ciencias,2018,Andalucia,0,1,Hombre,Union Europea,"8,42","6,32","5,79","7,98","7,13",0
14,Ciencias,2019,Andalucia,0,1,Hombre,Union Europea,"8,42","6,32","5,79","7,99","7,13",1
18,Ciencias,2020,Andalucia,0,1,Hombre,Union Europea,"8,42","6,32","5,8","7,99","7,13",1
22,Ciencias,2021,Andalucia,0,1,Hombre,Union Europea,"8,43","6,32","5,8","7,99","7,14",1
9,Ciencias,2022,Andalucia,0,1,Hombre,Union Europea,"8,43","6,33","5,8",8,"7,14",0
13,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,Resto de Europa,"4,32","6,31","9,11","5,77","6,38",0
16,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,Resto de Europa,"4,32","6,31","9,11","5,77","6,38",0
24,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,Resto de Europa,"4,32","6,32","9,12","5,77","6,38",0
17,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,Resto de Europa,"4,32","6,32","9,12","5,77","6,38",1
16,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,Resto de Europa,"4,32","6,32","9,13","5,78","6,39",0
24,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,Resto de Europa,"4,33","6,32","9,13","5,78","6,39",0
24,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,Resto de Europa,"4,33","6,33","9,14","5,78","6,4",0
24,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,Resto de Europa,"7,38","5,29","5,78","9,08","6,88",0
18,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,Resto de Europa,"7,39","5,3","5,79","9,08","6,89",1
23,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,Resto de Europa,"7,39","5,3","5,79","9,09","6,89",0
16,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,Resto de Europa,"7,4","5,3","5,79","9,09","6,9",0
26,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,Resto de Europa,"7,4","5,31","5,8","9,1","6,9",1
17,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,Resto de Europa,"7,4","5,31","5,8","9,1","6,9",0
18,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,Resto de Europa,"7,41","5,31","5,8","9,11","6,91",0
4,Artes y Humanidades,2016,Andalucia,0,1,Hombre,Resto de Europa,"4,32","5,29","9,11","4,66","5,84",0
8,Artes y Humanidades,2017,Andalucia,0,1,Hombre,Resto de Europa,"4,32","5,3","9,11","4,66","5,85",0
4,Artes y Humanidades,2018,Andalucia,0,1,Hombre,Resto de Europa,"4,32","5,3","9,12","4,67","5,85",0
4,Artes y Humanidades,2019,Andalucia,0,1,Hombre,Resto de Europa,"4,32","5,3","9,12","4,67","5,85",0
4,Artes y Humanidades,2020,Andalucia,0,1,Hombre,Resto de Europa,"4,32","5,31","9,13","4,67","5,86",0
5,Artes y Humanidades,2021,Andalucia,0,1,Hombre,Resto de Europa,"4,33","5,31","9,13","4,67","5,86",0
8,Artes y Humanidades,2022,Andalucia,0,1,Hombre,Resto de Europa,"4,33","5,31","9,14","4,67","5,86",0
3,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,Resto de Europa,"6,36","8,34","6,89","5,77","6,84",0
2,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,Resto de Europa,"6,36","8,34","6,9","5,77","6,84",0
1,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,Resto de Europa,"6,37","8,35","6,9","5,77","6,85",0
1,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,Resto de Europa,"6,37","8,35","6,9","5,77","6,85",0
5,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,Resto de Europa,"6,37","8,35","6,91","5,78","6,85",1
0,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,Resto de Europa,"6,38","8,36","6,91","5,78","6,86",0
2,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,Resto de Europa,"6,38","8,36","6,91","5,78","6,86",0
2,Ciencias,2016,Andalucia,0,1,Hombre,Resto de Europa,"8,41","6,31","5,78","7,97","7,12",0
2,Ciencias,2017,Andalucia,0,1,Hombre,Resto de Europa,"8,41","6,31","5,79","7,98","7,12",1
5,Ciencias,2018,Andalucia,0,1,Hombre,Resto de Europa,"8,42","6,32","5,79","7,98","7,13",1
4,Ciencias,2019,Andalucia,0,1,Hombre,Resto de Europa,"8,42","6,32","5,79","7,99","7,13",0
2,Ciencias,2020,Andalucia,0,1,Hombre,Resto de Europa,"8,42","6,32","5,8","7,99","7,13",1
4,Ciencias,2021,Andalucia,0,1,Hombre,Resto de Europa,"8,43","6,32","5,8","7,99","7,14",0
5,Ciencias,2022,Andalucia,0,1,Hombre,Resto de Europa,"8,43","6,33","5,8",8,"7,14",1
2,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","6,31","9,11","5,77","6,38",0
1,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","6,31","9,11","5,77","6,38",0
1,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","6,32","9,12","5,77","6,38",0
3,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","6,32","9,12","5,77","6,38",0
1,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","6,32","9,13","5,78","6,39",1
3,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,EEUU y Canada,"4,33","6,32","9,13","5,78","6,39",0
0,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,EEUU y Canada,"4,33","6,33","9,14","5,78","6,4",0
0,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,EEUU y Canada,"7,38","5,29","5,78","9,08","6,88",0
0,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,EEUU y Canada,"7,39","5,3","5,79","9,08","6,89",1
0,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,EEUU y Canada,"7,39","5,3","5,79","9,09","6,89",1
0,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,EEUU y Canada,"7,4","5,3","5,79","9,09","6,9",0
1,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,EEUU y Canada,"7,4","5,31","5,8","9,1","6,9",1
0,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,EEUU y Canada,"7,4","5,31","5,8","9,1","6,9",1
3,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,EEUU y Canada,"7,41","5,31","5,8","9,11","6,91",0
1,Artes y Humanidades,2016,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","5,29","9,11","4,66","5,84",0
7,Artes y Humanidades,2017,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","5,3","9,11","4,66","5,85",0
2,Artes y Humanidades,2018,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","5,3","9,12","4,67","5,85",0
2,Artes y Humanidades,2019,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","5,3","9,12","4,67","5,85",0
2,Artes y Humanidades,2020,Andalucia,0,1,Hombre,EEUU y Canada,"4,32","5,31","9,13","4,67","5,86",0
3,Artes y Humanidades,2021,Andalucia,0,1,Hombre,EEUU y Canada,"4,33","5,31","9,13","4,67","5,86",0
0,Artes y Humanidades,2022,Andalucia,0,1,Hombre,EEUU y Canada,"4,33","5,31","9,14","4,67","5,86",0
0,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,EEUU y Canada,"6,36","8,34","6,89","5,77","6,84",1
0,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,EEUU y Canada,"6,36","8,34","6,9","5,77","6,84",0
1,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,EEUU y Canada,"6,37","8,35","6,9","5,77","6,85",0
0,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,EEUU y Canada,"6,37","8,35","6,9","5,77","6,85",0
0,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,EEUU y Canada,"6,37","8,35","6,91","5,78","6,85",0
0,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,EEUU y Canada,"6,38","8,36","6,91","5,78","6,86",0
0,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,EEUU y Canada,"6,38","8,36","6,91","5,78","6,86",1
1,Ciencias,2016,Andalucia,0,1,Hombre,EEUU y Canada,"8,41","6,31","5,78","7,97","7,12",1
0,Ciencias,2017,Andalucia,0,1,Hombre,EEUU y Canada,"8,41","6,31","5,79","7,98","7,12",1
0,Ciencias,2018,Andalucia,0,1,Hombre,EEUU y Canada,"8,42","6,32","5,79","7,98","7,13",1
0,Ciencias,2019,Andalucia,0,1,Hombre,EEUU y Canada,"8,42","6,32","5,79","7,99","7,13",1
0,Ciencias,2020,Andalucia,0,1,Hombre,EEUU y Canada,"8,42","6,32","5,8","7,99","7,13",1
0,Ciencias,2021,Andalucia,0,1,Hombre,EEUU y Canada,"8,43","6,32","5,8","7,99","7,14",1
48,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","6,31","9,11","5,77","6,38",0
37,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","6,31","9,11","5,77","6,38",0
51,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","6,32","9,12","5,77","6,38",0
83,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","6,32","9,12","5,77","6,38",0
89,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","6,32","9,13","5,78","6,39",0
70,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,America Latina y Caribe,"4,33","6,32","9,13","5,78","6,39",0
81,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,America Latina y Caribe,"4,33","6,33","9,14","5,78","6,4",0
33,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,America Latina y Caribe,"7,38","5,29","5,78","9,08","6,88",1
42,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,America Latina y Caribe,"7,39","5,3","5,79","9,08","6,89",0
63,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,America Latina y Caribe,"7,39","5,3","5,79","9,09","6,89",0
79,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,America Latina y Caribe,"7,4","5,3","5,79","9,09","6,9",0
89,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,America Latina y Caribe,"7,4","5,31","5,8","9,1","6,9",0
90,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,America Latina y Caribe,"7,4","5,31","5,8","9,1","6,9",0
87,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,America Latina y Caribe,"7,41","5,31","5,8","9,11","6,91",1
22,Artes y Humanidades,2016,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","5,29","9,11","4,66","5,84",0
10,Artes y Humanidades,2017,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","5,3","9,11","4,66","5,85",0
20,Artes y Humanidades,2018,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","5,3","9,12","4,67","5,85",0
18,Artes y Humanidades,2019,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","5,3","9,12","4,67","5,85",0
20,Artes y Humanidades,2020,Andalucia,0,1,Hombre,America Latina y Caribe,"4,32","5,31","9,13","4,67","5,86",0
21,Artes y Humanidades,2021,Andalucia,0,1,Hombre,America Latina y Caribe,"4,33","5,31","9,13","4,67","5,86",0
16,Artes y Humanidades,2022,Andalucia,0,1,Hombre,America Latina y Caribe,"4,33","5,31","9,14","4,67","5,86",0
8,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,America Latina y Caribe,"6,36","8,34","6,89","5,77","6,84",0
11,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,America Latina y Caribe,"6,36","8,34","6,9","5,77","6,84",1
5,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,America Latina y Caribe,"6,37","8,35","6,9","5,77","6,85",0
6,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,America Latina y Caribe,"6,37","8,35","6,9","5,77","6,85",1
6,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,America Latina y Caribe,"6,37","8,35","6,91","5,78","6,85",1
13,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,America Latina y Caribe,"6,38","8,36","6,91","5,78","6,86",1
13,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,America Latina y Caribe,"6,38","8,36","6,91","5,78","6,86",0
11,Ciencias,2016,Andalucia,0,1,Hombre,America Latina y Caribe,"8,41","6,31","5,78","7,97","7,12",1
9,Ciencias,2017,Andalucia,0,1,Hombre,America Latina y Caribe,"8,41","6,31","5,79","7,98","7,12",1
5,Ciencias,2018,Andalucia,0,1,Hombre,America Latina y Caribe,"8,42","6,32","5,79","7,98","7,13",0
12,Ciencias,2019,Andalucia,0,1,Hombre,America Latina y Caribe,"8,42","6,32","5,79","7,99","7,13",1
11,Ciencias,2020,Andalucia,0,1,Hombre,America Latina y Caribe,"8,42","6,32","5,8","7,99","7,13",0
6,Ciencias,2021,Andalucia,0,1,Hombre,America Latina y Caribe,"8,43","6,32","5,8","7,99","7,14",1
14,Ciencias,2022,Andalucia,0,1,Hombre,America Latina y Caribe,"8,43","6,33","5,8",8,"7,14",1
53,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,Norte de Africa,"4,32","6,31","9,11","5,77","6,38",0
47,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,Norte de Africa,"4,32","6,31","9,11","5,77","6,38",0
62,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,Norte de Africa,"4,32","6,32","9,12","5,77","6,38",1
46,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,Norte de Africa,"4,32","6,32","9,12","5,77","6,38",0
87,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,Norte de Africa,"4,32","6,32","9,13","5,78","6,39",0
105,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,Norte de Africa,"4,33","6,32","9,13","5,78","6,39",0
111,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,Norte de Africa,"4,33","6,33","9,14","5,78","6,4",0
107,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,Norte de Africa,"7,38","5,29","5,78","9,08","6,88",0
93,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,Norte de Africa,"7,39","5,3","5,79","9,08","6,89",1
76,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,Norte de Africa,"7,39","5,3","5,79","9,09","6,89",1
71,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,Norte de Africa,"7,4","5,3","5,79","9,09","6,9",1
135,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,Norte de Africa,"7,4","5,31","5,8","9,1","6,9",0
183,Ingenieria y Arquitectura,2021,Andalucia,0,1,Hombre,Norte de Africa,"7,4","5,31","5,8","9,1","6,9",1
155,Ingenieria y Arquitectura,2022,Andalucia,0,1,Hombre,Norte de Africa,"7,41","5,31","5,8","9,11","6,91",0
10,Artes y Humanidades,2016,Andalucia,0,1,Hombre,Norte de Africa,"4,32","5,29","9,11","4,66","5,84",0
13,Artes y Humanidades,2017,Andalucia,0,1,Hombre,Norte de Africa,"4,32","5,3","9,11","4,66","5,85",0
8,Artes y Humanidades,2018,Andalucia,0,1,Hombre,Norte de Africa,"4,32","5,3","9,12","4,67","5,85",0
9,Artes y Humanidades,2019,Andalucia,0,1,Hombre,Norte de Africa,"4,32","5,3","9,12","4,67","5,85",0
20,Artes y Humanidades,2020,Andalucia,0,1,Hombre,Norte de Africa,"4,32","5,31","9,13","4,67","5,86",0
29,Artes y Humanidades,2021,Andalucia,0,1,Hombre,Norte de Africa,"4,33","5,31","9,13","4,67","5,86",0
19,Artes y Humanidades,2022,Andalucia,0,1,Hombre,Norte de Africa,"4,33","5,31","9,14","4,67","5,86",0
27,Ciencias de la Salud,2016,Andalucia,0,1,Hombre,Norte de Africa,"6,36","8,34","6,89","5,77","6,84",0
13,Ciencias de la Salud,2017,Andalucia,0,1,Hombre,Norte de Africa,"6,36","8,34","6,9","5,77","6,84",1
14,Ciencias de la Salud,2018,Andalucia,0,1,Hombre,Norte de Africa,"6,37","8,35","6,9","5,77","6,85",0
6,Ciencias de la Salud,2019,Andalucia,0,1,Hombre,Norte de Africa,"6,37","8,35","6,9","5,77","6,85",0
16,Ciencias de la Salud,2020,Andalucia,0,1,Hombre,Norte de Africa,"6,37","8,35","6,91","5,78","6,85",0
12,Ciencias de la Salud,2021,Andalucia,0,1,Hombre,Norte de Africa,"6,38","8,36","6,91","5,78","6,86",1
8,Ciencias de la Salud,2022,Andalucia,0,1,Hombre,Norte de Africa,"6,38","8,36","6,91","5,78","6,86",0
10,Ciencias,2016,Andalucia,0,1,Hombre,Norte de Africa,"8,41","6,31","5,78","7,97","7,12",1
6,Ciencias,2017,Andalucia,0,1,Hombre,Norte de Africa,"8,41","6,31","5,79","7,98","7,12",1
5,Ciencias,2018,Andalucia,0,1,Hombre,Norte de Africa,"8,42","6,32","5,79","7,98","7,13",1
10,Ciencias,2019,Andalucia,0,1,Hombre,Norte de Africa,"8,42","6,32","5,79","7,99","7,13",1
12,Ciencias,2020,Andalucia,0,1,Hombre,Norte de Africa,"8,42","6,32","5,8","7,99","7,13",1
9,Ciencias,2021,Andalucia,0,1,Hombre,Norte de Africa,"8,43","6,32","5,8","7,99","7,14",0
13,Ciencias,2022,Andalucia,0,1,Hombre,Norte de Africa,"8,43","6,33","5,8",8,"7,14",0
9,Ciencias Sociales y Juridicas,2016,Andalucia,0,1,Hombre,Resto de Africa,"4,32","6,31","9,11","5,77","6,38",0
8,Ciencias Sociales y Juridicas,2017,Andalucia,0,1,Hombre,Resto de Africa,"4,32","6,31","9,11","5,77","6,38",0
6,Ciencias Sociales y Juridicas,2018,Andalucia,0,1,Hombre,Resto de Africa,"4,32","6,32","9,12","5,77","6,38",0
13,Ciencias Sociales y Juridicas,2019,Andalucia,0,1,Hombre,Resto de Africa,"4,32","6,32","9,12","5,77","6,38",0
13,Ciencias Sociales y Juridicas,2020,Andalucia,0,1,Hombre,Resto de Africa,"4,32","6,32","9,13","5,78","6,39",0
15,Ciencias Sociales y Juridicas,2021,Andalucia,0,1,Hombre,Resto de Africa,"4,33","6,32","9,13","5,78","6,39",0
16,Ciencias Sociales y Juridicas,2022,Andalucia,0,1,Hombre,Resto de Africa,"4,33","6,33","9,14","5,78","6,4",0
5,Ingenieria y Arquitectura,2016,Andalucia,0,1,Hombre,Resto de Africa,"7,38","5,29","5,78","9,08","6,88",0
12,Ingenieria y Arquitectura,2017,Andalucia,0,1,Hombre,Resto de Africa,"7,39","5,3","5,79","9,08","6,89",1
22,Ingenieria y Arquitectura,2018,Andalucia,0,1,Hombre,Resto de Africa,"7,39","5,3","5,79","9,09","6,89",1
20,Ingenieria y Arquitectura,2019,Andalucia,0,1,Hombre,Resto de Africa,"7,4","5,3","5,79","9,09","6,9",0
12,Ingenieria y Arquitectura,2020,Andalucia,0,1,Hombre,Resto de Africa,"7,4","5,31","5,8","9,1","6,9",0
